                                kicad schematic
                                Transient Analysis  Fri Aug 14 12:57:36  2026
--------------------------------------------------------------------------------
Index   time            a3#branch_1_0   a3#branch_1_1   b.x1.bcmp#branc 
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	0.000000e+00	-5.00000e-06	
1	5.000000e-11	0.000000e+00	0.000000e+00	-5.00000e-06	
2	1.000000e-10	0.000000e+00	0.000000e+00	-5.00000e-06	
3	2.000000e-10	0.000000e+00	0.000000e+00	-5.00000e-06	
4	4.000000e-10	0.000000e+00	0.000000e+00	-5.00000e-06	
5	8.000000e-10	0.000000e+00	0.000000e+00	-5.00000e-06	
6	1.600000e-09	0.000000e+00	0.000000e+00	-5.00000e-06	
7	3.200000e-09	0.000000e+00	0.000000e+00	-5.00000e-06	
8	5.000000e-09	0.000000e+00	0.000000e+00	-5.00000e-06	
9	5.320000e-09	0.000000e+00	0.000000e+00	-5.00000e-06	
10	5.960000e-09	0.000000e+00	0.000000e+00	-5.00000e-06	
11	7.240000e-09	0.000000e+00	0.000000e+00	-5.00000e-06	
12	9.800000e-09	0.000000e+00	0.000000e+00	-5.00000e-06	
13	1.492000e-08	0.000000e+00	0.000000e+00	-5.00000e-06	
14	2.516000e-08	0.000000e+00	0.000000e+00	-5.00000e-06	
15	4.564000e-08	0.000000e+00	0.000000e+00	-5.00000e-06	
16	8.660000e-08	0.000000e+00	0.000000e+00	-5.00000e-06	
17	1.685200e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
18	2.500000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
19	2.505000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
20	2.515000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
21	2.535000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
22	2.550000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
23	2.554000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
24	2.562000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
25	2.578000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
26	2.610000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
27	2.674000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
28	2.802000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
29	3.058000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
30	3.570000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
31	4.570000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
32	5.000000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
33	5.005000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
34	5.015000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
35	5.035000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
36	5.050000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
37	5.054000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
38	5.062000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
39	5.078000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
40	5.110000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
41	5.174000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
42	5.302000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
43	5.558000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
44	6.070000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
45	7.070000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
46	7.500000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
47	7.505000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
48	7.515000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
49	7.535000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
50	7.550000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
51	7.554000e-07	0.000000e+00	0.000000e+00	-5.00000e-06	
